Title,Category,link
Nations goes to 12th Jatiya Sangsad elections today,ploitics,https://www.observerbd.com/news/454075
"BNP calls hartal for Saturday, Sunday opposing election",ploitics,https://www.observerbd.com/news/453963
Cabrera includs 11 more footballers,sports,https://bangladeshpost.net/posts/cabrera-includs-11-more-footballers-149118
School Handball tournament gets underway,sports,https://bangladeshpost.net/posts/school-handball-tournament-gets-underway-149117
"This victory is not of mine, it's people's victory: Sheikh Hasina",ploitics,https://www.observerbd.com/news/454445
AL to hold rally at Suhrawardi Udyan on Jan 10,ploitics,https://www.observerbd.com/news/454435
Tamim focuses on BPL,sports,https://bangladeshpost.net/posts/tamim-focuses-on-bpl-149033
DPR Korea wins U-17 WWC,sports,https://bangladeshpost.net/posts/dpr-korea-wins-u-17-wwc-149032
Barcelona beat Espanyol to extend lead in LaLiga,sports,https://bangladeshpost.net/posts/barcelona-beat-espanyol-to-extend-lead-in-laliga-149031
Don’t indulge in activities disliked by the people,ploitics,https://www.thedailystar.net/news/bangladesh/politics/news/dont-indulge-activities-disliked-the-people-3746706
15th amendment to constitution: It ruined basic structures of constitution,ploitics,https://www.thedailystar.net/news/bangladesh/news/15th-amendment-constitution-it-ruined-basic-structures-constitution-3746841
Hridoy not worried about Afghan challenge,sports,https://bangladeshpost.net/posts/hridoy-not-worried-about-afghan-challenge-148945
BNP proposes 5 names for EC,ploitics,https://www.thedailystar.net/news/bangladesh/politics/news/bnp-proposes-5-names-ec-3746741
Amu arrested in the capital,ploitics,https://www.thedailystar.net/news/bangladesh/crime-justice/news/amu-arrested-the-capital-3746166
Nat’l team need to play preparation matches,sports,https://bangladeshpost.net/posts/nat-l-team-need-to-play-preparation-matches-148944
Fair election must to keep democracy continue: Tarique Rahman,ploitics,https://www.observerbd.com/news/494357
Losing 3-0 at home is a tough pill to swallow: Tendulkar,sports,https://bangladeshpost.net/posts/losing-3-0-at-home-is-a-tough-pill-to-swallow-tendulkar-148943
Jamaat proposes restoration of caretaker government system,ploitics,https://www.observerbd.com/news/494163
Hemp upset with Tigers’ dismal batting,sports,https://bangladeshpost.net/posts/hemp-upset-with-tigers-dismal-batting-148942
Identify dictator's allies in administration: Rizvi,ploitics,https://www.observerbd.com/news/494030
"Salah sends Liverpool top, Man City lose for first time",sports,https://bangladeshpost.net/posts/salah-sends-liverpool-top-man-city-lose-for-first-time-148940
Next election after 6 reform commissions' reports in three months,ploitics,https://www.observerbd.com/news/493648
Legal notice served to Shakib's agro farm seeking loan repayment of Tk 4.13cr,sports,https://bangladeshpost.net/posts/legal-notice-served-to-shakib-s-agro-farm-seeking-loan-repayment-of-tk-4-13cr-148936
"Jamaat will unveil its reforms, election roadmap Oct 9: Ameer",ploitics,https://www.observerbd.com/news/493516
Shanto frustrated with top-order batting woes,sports,https://bangladeshpost.net/posts/shanto-frustrated-with-top-order-batting-woes-148904
Jamaat brings out protest processions in city,ploitics,https://www.observerbd.com/news/453917
Women’s league should be organised regularly: Sabina,sports,https://bangladeshpost.net/posts/women-s-league-should-be-organised-regularly-sabina-148902
BNP demands steps against ABM Khairul Huque at dialogue with CA,ploitics,https://www.observerbd.com/news/493516
Monika accorded warm reception,sports,https://bangladeshpost.net/posts/monika-accorded-warm-reception-148900
Nanak accuses Dr Yunus of illegal power grab and violence,ploitics,https://www.observerbd.com/news/493486
Brazil squad announced without Neymar,sports,https://bangladeshpost.net/posts/brazil-squad-announced-without-neymar-148898
Bid to kill Khaleda Zia: Sheikh Hasina among 113 sued,ploitics,https://www.observerbd.com/news/493376
I wouldn’t like to be a coach: Messi,sports,https://bangladeshpost.net/posts/i-wouldn-t-like-to-be-a-coach-messi-148897
Actor Sohel Rana floats Bangladesh Justice Party,ploitics,https://www.observerbd.com/news/493367
CA accords reception to SAFF winning women footballers,sports,https://bangladeshpost.net/posts/ca-accords-reception-to-saff-winning-women-footballers-148850
BGB not solely responsible for AL leaders fleeing country: DG,ploitics,https://www.observerbd.com/news/493225
CA to hold dialogue with BNP on Saturday afternoon,ploitics,https://www.observerbd.com/news/493214
Salahuddin becomes assistant coach,sports,https://bangladeshpost.net/posts/salahuddin-becomes-assistant-coach-148793
BFF paid Butler's salary,sports,https://bangladeshpost.net/posts/bff-paid-butler-s-salary-148792
Fakhrul wants interim govt to focus on reforms for credible elections,ploitics,https://www.observerbd.com/news/493039
Sarwar appointed as an assist coach,sports,https://bangladeshpost.net/posts/sarwar-appointed-as-an-assist-coach-148791
"BNP concerned as ousted govt's ministers, party leaders not arrested yet",ploitics,https://www.observerbd.com/news/493030
Bangladesh sink Oman,sports,https://bangladeshpost.net/posts/bangladesh-sink-oman-148789
Arson attack on garbage truck: Fakhrul among 8 acquitted,ploitics,https://www.observerbd.com/news/492984
Shanto pinpoints team flaws,sports,https://bangladeshpost.net/posts/shanto-pinpoints-team-flaws-148788
Mirza Fakhrul suffers from fever,ploitics,https://www.observerbd.com/news/492854
Cabrera starts football camp,sports,https://bangladeshpost.net/posts/cabrera-starts-football-camp-148787
"Chief Adviser's UNGA visit very successful, historic: Press Secretary",ploitics,https://www.observerbd.com/news/492757
Champions arrive home,sports,https://bangladeshpost.net/posts/champions-arrive-home-148777
Mirza Fakhrul demands unconditional release of Mahmudur Rahman,ploitics,https://www.observerbd.com/news/492755
BPL Tainted with corruption,sports,https://bangladeshpost.net/posts/bpl-tainted-with-corruption-148790
BNP dissolves Dhaka north city unit committee,ploitics,https://www.observerbd.com/news/492475
Five reasons for Tigers’ debacle,sports,https://bangladeshpost.net/posts/five-reasons-for-tigers-debacle-148794
"Interim govt urged to take firm stand against intolerance, anarchy and hatred",ploitics,https://www.observerbd.com/news/492464
BPL expected to kick off on Dec 27,sports,https://bangladeshpost.net/posts/bpl-expected-to-kick-off-on-dec-27-148752
Interim govt must win BNP's unshakeable trust: Tarique Rahman,ploitics,https://www.observerbd.com/news/492353
Tohura a ‘goal machine’ from Kalsindur,sports,https://bangladeshpost.net/posts/tohura-a-goal-machine-from-kalsindur-148750
"Bangladesh student movement leaves 1,581 dead, 31,000 injured",ploitics,https://www.observerbd.com/news/492348
"Man Utd hit five to start life after Ten Hag,",sports,https://bangladeshpost.net/posts/man-utd-hit-five-to-start-life-after-ten-hag-148749
A section of Bangladeshi expatriates demand lifting cases against Hasina,ploitics,https://www.observerbd.com/news/492276
Women footballers to receive due salaries soon: Govt,sports,https://bangladeshpost.net/posts/women-footballers-to-receive-due-salaries-soon-govt-148703
CA urges int'l community to help build new Bangladesh,ploitics,https://www.observerbd.com/news/492274
Batters suicide in batting paradise,sports,https://bangladeshpost.net/posts/batters-suicide-in-batting-paradise-148663
Say farewell to BNP forever by showing red card on Jan 7: Quader,ploitics,https://www.observerbd.com/news/453333
Kings’ out from CL,sports,https://bangladeshpost.net/posts/kings-out-from-cl-148662
Cast votes on Jan 7 to foil BNP-Jamaat arsonists: Hasina tells people,ploitics,https://www.observerbd.com/news/453336
BCB’s 11 posts fall vacant,sports,https://bangladeshpost.net/posts/bcb-s-11-posts-fall-vacant-148659
"Shammi, Sadiq Abdullah fail to contest election",ploitics,https://www.observerbd.com/news/453457
"Dr Yunus was sentenced by court, AL not responsible for it: Quader",ploitics,https://www.observerbd.com/news/453476
